week,year,cases,date,tmax
1,2000,261,2080,5.942857142857143
2,2000,262,2081,7.828571428571428
3,2000,221,2082,9.471428571428572
4,2000,242,2083,8.714285714285714
5,2000,221,2084,16.7
6,2000,229,2085,15.842857142857142
7,2000,211,2086,16.67142857142857
8,2000,183,2087,16.428571428571427
9,2000,194,2088,17.900000000000002
10,2000,195,2089,20.08571428571429
11,2000,218,2090,20.714285714285715
12,2000,149,2091,16.257142857142856
13,2000,189,2092,14.942857142857145
14,2000,209,2093,16.75714285714286
15,2000,176,2094,17.17142857142857
16,2000,175,2095,20.8
17,2000,170,2096,20.571428571428573
18,2000,175,2097,22.91428571428571
19,2000,164,2098,22.685714285714287
20,2000,160,2099,26.62857142857143
21,2000,165,2100,26.714285714285715
22,2000,181,2101,29.72857142857143
23,2000,160,2102,26.771428571428572
24,2000,168,2103,27.157142857142862
25,2000,153,2104,32.02857142857143
26,2000,190,2105,32.47142857142857
27,2000,158,2106,32.64285714285714
28,2000,137,2107,25.928571428571427
29,2000,190,2108,31.47142857142857
30,2000,162,2109,32.628571428571426
31,2000,153,2110,31.499999999999996
32,2000,171,2111,32.18571428571429
33,2000,202,2112,34.042857142857144
34,2000,173,2113,34.94285714285714
35,2000,175,2114,29.75714285714286
36,2000,175,2115,28.171428571428574
37,2000,191,2116,32.628571428571426
38,2000,137,2117,26.985714285714288
39,2000,150,2118,26.928571428571434
40,2000,187,2119,22.857142857142858
41,2000,172,2120,21.414285714285715
42,2000,198,2121,19.32857142857143
43,2000,202,2122,18.5
44,2000,183,2123,17.2
45,2000,205,2124,14.185714285714287
46,2000,175,2125,13.87142857142857
47,2000,178,2126,13.799999999999999
48,2000,205,2127,15.57142857142857
49,2000,182,2128,15.157142857142858
50,2000,170,2129,14.028571428571428
51,2000,168,2130,11.299999999999999
52,2000,197,2131,12.322222222222221
1,2001,212,2132,13.057142857142859
2,2001,173,2133,10.900000000000002
3,2001,203,2134,10.385714285714286
4,2001,197,2135,12.257142857142856
5,2001,173,2136,13.642857142857142
6,2001,165,2137,16.3
7,2001,210,2138,13.100000000000003
8,2001,197,2139,13.971428571428573
9,2001,190,2140,14.185714285714285
10,2001,194,2141,20.728571428571428
11,2001,203,2142,18.142857142857142
12,2001,177,2143,24.099999999999998
13,2001,182,2144,20.17142857142857
14,2001,183,2145,21.814285714285717
15,2001,185,2146,19.357142857142858
16,2001,190,2147,16.742857142857144
17,2001,201,2148,23.271428571428572
18,2001,187,2149,15.828571428571426
19,2001,176,2150,21.857142857142858
20,2001,208,2151,26.142857142857142
21,2001,188,2152,29.542857142857144
22,2001,226,2153,33.08571428571429
23,2001,184,2154,29.54285714285714
24,2001,148,2155,29.685714285714283
25,2001,183,2156,34.41428571428572
26,2001,209,2157,35.1
27,2001,177,2158,30.385714285714283
28,2001,174,2159,30.814285714285717
29,2001,161,2160,29.542857142857144
30,2001,167,2161,33.94285714285714
31,2001,195,2162,34.42857142857143
32,2001,200,2163,31.571428571428573
33,2001,170,2164,32.98571428571428
34,2001,183,2165,35.5
35,2001,190,2166,30.142857142857142
36,2001,167,2167,28.014285714285716
37,2001,179,2168,26.142857142857142
38,2001,171,2169,23.9
39,2001,202,2170,24.28571428571428
40,2001,185,2171,26.014285714285712
41,2001,198,2172,23.2
42,2001,179,2173,23.428571428571427
43,2001,181,2174,21.599999999999998
44,2001,215,2175,20.314285714285717
45,2001,204,2176,14.4
46,2001,209,2177,11.142857142857142
47,2001,196,2178,12.471428571428572
48,2001,210,2179,13.6
49,2001,215,2180,12.014285714285714
50,2001,203,2181,7.871428571428572
51,2001,210,2182,3.542857142857143
52,2001,215,2183,9.2125
1,2002,222,2184,8.314285714285713
2,2002,200,2185,9.4
3,2002,229,2186,10.914285714285715
4,2002,237,2187,14.728571428571428
5,2002,256,2188,14.471428571428572
6,2002,245,2189,16.885714285714283
7,2002,243,2190,12.157142857142857
8,2002,225,2191,15.385714285714286
9,2002,212,2192,15.757142857142856
10,2002,203,2193,16.428571428571427
11,2002,200,2194,17.4
12,2002,185,2195,24.585714285714285
13,2002,198,2196,17.97142857142857
14,2002,229,2197,17.057142857142857
15,2002,213,2198,15.185714285714285
16,2002,190,2199,23.328571428571426
17,2002,203,2200,25.928571428571427
18,2002,188,2201,19.714285714285715
19,2002,182,2202,19.185714285714287
20,2002,179,2203,27.814285714285713
21,2002,213,2204,24.657142857142855
22,2002,210,2205,30.457142857142856
23,2002,158,2206,21.357142857142858
24,2002,177,2207,34.48571428571429
25,2002,194,2208,34.44285714285714
26,2002,174,2209,30
27,2002,201,2210,29.85714285714286
28,2002,181,2211,28
29,2002,187,2212,34.285714285714285
30,2002,153,2213,32.785714285714285
31,2002,156,2214,30.371428571428574
32,2002,158,2215,26.24285714285714
33,2002,170,2216,34.21428571428571
34,2002,167,2217,28.02857142857143
35,2002,179,2218,27.185714285714287
36,2002,167,2219,26.685714285714287
37,2002,150,2220,27.54285714285714
38,2002,166,2221,26.357142857142858
39,2002,181,2222,22.957142857142856
40,2002,185,2223,22.771428571428572
41,2002,172,2224,20.571428571428573
42,2002,205,2225,21.82857142857143
43,2002,188,2226,21.228571428571428
44,2002,195,2227,19.47142857142857
45,2002,194,2228,18.157142857142855
46,2002,180,2229,16.228571428571428
47,2002,196,2230,15.057142857142859
48,2002,205,2231,14.8
49,2002,201,2232,11.4
50,2002,185,2233,12.657142857142857
51,2002,203,2234,12.528571428571428
52,2002,218,2235,15.575000000000001
1,2003,228,2236,13.585714285714287
2,2003,221,2237,7.728571428571428
3,2003,253,2238,11.72857142857143
4,2003,245,2239,14.228571428571428
5,2003,224,2240,10.257142857142856
6,2003,238,2241,11.914285714285715
7,2003,201,2242,9.271428571428572
8,2003,203,2243,10.585714285714285
9,2003,219,2244,17
10,2003,192,2245,18.599999999999998
11,2003,202,2246,18.514285714285712
12,2003,214,2247,19
13,2003,203,2248,18.114285714285717
14,2003,207,2249,17.242857142857144
15,2003,204,2250,17.88571428571429
16,2003,207,2251,20.5
17,2003,185,2252,25.028571428571432
18,2003,193,2253,22.814285714285717
19,2003,191,2254,22.400000000000002
20,2003,197,2255,24.614285714285717
21,2003,183,2256,25.45714285714286
22,2003,185,2257,31.257142857142856
23,2003,207,2258,31.099999999999998
24,2003,225,2259,35.41428571428572
25,2003,194,2260,36.357142857142854
26,2003,224,2261,33.028571428571425
27,2003,198,2262,31.814285714285713
28,2003,189,2263,36.871428571428574
29,2003,204,2264,34.84285714285714
30,2003,192,2265,34.1
31,2003,179,2266,37.65714285714285
32,2003,223,2267,38.542857142857144
33,2003,246,2268,34.2
34,2003,186,2269,33.871428571428574
35,2003,167,2270,30.185714285714287
36,2003,162,2271,23.442857142857143
37,2003,169,2272,27.014285714285712
38,2003,177,2273,28.25714285714286
39,2003,218,2274,24.599999999999998
40,2003,201,2275,22.67142857142857
41,2003,189,2276,23.342857142857138
42,2003,181,2277,19.857142857142858
43,2003,202,2278,13.042857142857143
44,2003,225,2279,17.357142857142858
45,2003,222,2280,15.771428571428574
46,2003,218,2281,14.871428571428572
47,2003,218,2282,15.571428571428573
48,2003,220,2283,13.714285714285714
49,2003,221,2284,10.814285714285715
50,2003,212,2285,13.37142857142857
51,2003,191,2286,11.085714285714285
52,2003,219,2287,10.0625
1,2004,255,2288,10.414285714285713
2,2004,238,2289,17.014285714285716
3,2004,253,2290,11.957142857142857
4,2004,221,2291,14.485714285714286
5,2004,210,2292,9.6
6,2004,233,2293,10.442857142857145
7,2004,206,2294,12.985714285714284
8,2004,190,2295,8.685714285714285
9,2004,170,2296,8.7
10,2004,200,2297,14.042857142857143
11,2004,215,2298,16.742857142857144
12,2004,200,2299,17.257142857142856
13,2004,214,2300,11.585714285714285
14,2004,230,2301,18.428571428571427
15,2004,203,2302,14.757142857142856
16,2004,196,2303,18.62857142857143
17,2004,168,2304,21.328571428571426
18,2004,212,2305,17.185714285714287
19,2004,183,2306,18.742857142857144
20,2004,191,2307,25.414285714285715
21,2004,176,2308,27.057142857142857
22,2004,182,2309,28.142857142857142
23,2004,185,2310,31.414285714285715
24,2004,196,2311,31.24285714285714
25,2004,180,2312,31.3
26,2004,198,2313,35.95714285714286
27,2004,180,2314,30.8
28,2004,185,2315,27.328571428571426
29,2004,191,2316,33.8
30,2004,214,2317,34.885714285714286
31,2004,201,2318,33.65714285714286
32,2004,174,2319,33.4
33,2004,170,2320,34.85714285714286
34,2004,183,2321,30.342857142857145
35,2004,184,2322,30.614285714285717
36,2004,161,2323,31.8
37,2004,187,2324,30.02857142857143
38,2004,169,2325,26.642857142857142
39,2004,190,2326,26.114285714285717
40,2004,172,2327,29.428571428571427
41,2004,199,2328,25.328571428571426
42,2004,180,2329,22.871428571428574
43,2004,202,2330,21.757142857142856
44,2004,180,2331,16.82857142857143
45,2004,195,2332,16.02857142857143
46,2004,210,2333,12.471428571428573
47,2004,205,2334,13.342857142857143
48,2004,220,2335,7.642857142857143
49,2004,227,2336,11.271428571428572
50,2004,218,2337,11.185714285714287
51,2004,208,2338,12.428571428571429
52,2004,234,2339,10.611111111111112
1,2005,303,2340,8.357142857142856
2,2005,323,2341,2.442857142857143
3,2005,277,2342,9.700000000000001
4,2005,265,2343,8.27142857142857
5,2005,285,2344,10.514285714285714
6,2005,290,2345,12.728571428571428
7,2005,230,2346,10.314285714285715
8,2005,229,2347,7.3999999999999995
9,2005,207,2348,8.314285714285713
10,2005,252,2349,11.842857142857142
11,2005,236,2350,20.442857142857143
12,2005,254,2351,22.614285714285717
13,2005,216,2352,20.785714285714285
14,2005,211,2353,19.17142857142857
15,2005,210,2354,16.257142857142856
16,2005,207,2355,18.9
17,2005,219,2356,26.74285714285714
18,2005,191,2357,26.271428571428572
19,2005,175,2358,25.442857142857143
20,2005,172,2359,24.199999999999996
21,2005,191,2360,28.457142857142856
22,2005,176,2361,28.542857142857144
23,2005,192,2362,30.728571428571428
24,2005,197,2363,30.014285714285712
25,2005,171,2364,35.9
26,2005,192,2365,33.357142857142854
27,2005,167,2366,30.25714285714285
28,2005,170,2367,33.971428571428575
29,2005,191,2368,35.614285714285714
30,2005,178,2369,35.31428571428571
31,2005,173,2370,29.714285714285715
32,2005,163,2371,33.58571428571428
33,2005,172,2372,32.114285714285714
34,2005,146,2373,28.17142857142857
35,2005,167,2374,31.900000000000002
36,2005,179,2375,29.128571428571426
37,2005,190,2376,27.728571428571428
38,2005,173,2377,24.185714285714283
39,2005,181,2378,25.942857142857143
40,2005,202,2379,22.300000000000004
41,2005,183,2380,21.942857142857147
42,2005,160,2381,20.271428571428572
43,2005,214,2382,21.500000000000004
44,2005,195,2383,21.485714285714284
45,2005,193,2384,15.642857142857142
46,2005,204,2385,13.314285714285713
47,2005,172,2386,12.528571428571428
48,2005,202,2387,11.328571428571427
49,2005,183,2388,13.22857142857143
50,2005,227,2389,9.37142857142857
51,2005,200,2390,6.457142857142857
52,2005,266,2391,4.325
1,2006,239,2392,9.728571428571428
2,2006,221,2393,6.771428571428571
3,2006,211,2394,11.257142857142856
4,2006,216,2395,8.742857142857142
5,2006,224,2396,8.914285714285715
6,2006,199,2397,12.714285714285714
7,2006,214,2398,15.671428571428573
8,2006,203,2399,10.985714285714286
9,2006,198,2400,12.157142857142857
10,2006,249,2401,14.814285714285715
11,2006,213,2402,18.271428571428572
12,2006,180,2403,19.300000000000004
13,2006,204,2404,23.7
14,2006,196,2405,22.099999999999998
15,2006,181,2406,20.47142857142857
16,2006,187,2407,20.314285714285717
17,2006,200,2408,22.24285714285714
18,2006,201,2409,24.571428571428573
19,2006,181,2410,25.085714285714285
20,2006,206,2411,30.47142857142857
21,2006,162,2412,28.071428571428573
22,2006,180,2413,26.82857142857143
23,2006,189,2414,31.642857142857146
24,2006,195,2415,31.21428571428572
25,2006,191,2416,32.57142857142857
26,2006,182,2417,32.58571428571428
27,2006,191,2418,33.471428571428575
28,2006,207,2419,36.699999999999996
29,2006,255,2420,35.68571428571429
30,2006,223,2421,35.957142857142856
31,2006,184,2422,32.528571428571425
32,2006,169,2423,30.228571428571428
33,2006,158,2424,28.17142857142857
34,2006,170,2425,30.885714285714283
35,2006,176,2426,31.085714285714285
36,2006,209,2427,35.22857142857142
37,2006,206,2428,25.48571428571429
38,2006,159,2429,26.585714285714285
39,2006,175,2430,26
40,2006,162,2431,25.2
41,2006,211,2432,24.857142857142858
42,2006,204,2433,21.928571428571427
43,2006,199,2434,23.47142857142857
44,2006,204,2435,20.54285714285714
45,2006,202,2436,16.428571428571427
46,2006,186,2437,18.514285714285712
47,2006,191,2438,18.97142857142857
48,2006,194,2439,12.757142857142858
49,2006,193,2440,14.914285714285715
50,2006,216,2441,7.328571428571428
51,2006,226,2442,7.6
52,2006,214,2443,5.2875
1,2007,236,2444,13.271428571428572
2,2007,232,2445,11.671428571428573
3,2007,214,2446,12.5
4,2007,221,2447,7.1571428571428575
5,2007,218,2448,8.442857142857141
6,2007,266,2449,14.757142857142856
7,2007,268,2450,17.857142857142858
8,2007,201,2451,16.085714285714285
9,2007,206,2452,20.185714285714283
10,2007,190,2453,16.45714285714286
11,2007,200,2454,19.185714285714287
12,2007,247,2455,11.171428571428569
13,2007,200,2456,14.1
14,2007,193,2457,14.185714285714285
15,2007,196,2458,19.557142857142853
16,2007,219,2459,25.314285714285717
17,2007,220,2460,24.1
18,2007,175,2461,19.12857142857143
19,2007,213,2462,28.542857142857144
20,2007,204,2463,24.199999999999996
21,2007,198,2464,26.057142857142857
22,2007,198,2465,23.699999999999996
23,2007,175,2466,29.799999999999994
24,2007,187,2467,29.542857142857144
25,2007,193,2468,30.685714285714287
26,2007,180,2469,29.885714285714283
27,2007,185,2470,31.428571428571427
28,2007,192,2471,30.957142857142856
29,2007,147,2472,31.900000000000002
30,2007,195,2473,34.07142857142858
31,2007,192,2474,35.557142857142864
32,2007,168,2475,29.2
33,2007,149,2476,31.471428571428568
34,2007,186,2477,27.32857142857143
35,2007,185,2478,31.8
36,2007,168,2479,28.52857142857143
37,2007,184,2480,29.214285714285715
38,2007,172,2481,25.771428571428572
39,2007,188,2482,22.67142857142857
40,2007,174,2483,24.5
41,2007,192,2484,22.614285714285717
42,2007,181,2485,21.814285714285713
43,2007,206,2486,18.685714285714287
44,2007,208,2487,17.342857142857145
45,2007,209,2488,18.328571428571426
46,2007,179,2489,13.814285714285715
47,2007,216,2490,13.685714285714285
48,2007,202,2491,13.742857142857144
49,2007,210,2492,15.400000000000002
50,2007,213,2493,9.742857142857142
51,2007,241,2494,9.528571428571428
52,2007,230,2495,7.324999999999999
1,2008,247,2496,9.528571428571428
2,2008,258,2497,12.614285714285716
3,2008,235,2498,13.042857142857143
4,2008,240,2499,14.14285714285714
5,2008,217,2500,11.714285714285714
6,2008,251,2501,15.342857142857142
7,2008,247,2502,12.7
8,2008,246,2503,16.071428571428573
9,2008,224,2504,19.242857142857144
10,2008,190,2505,12.057142857142859
11,2008,242,2506,21.04285714285714
12,2008,181,2507,13.742857142857144
13,2008,177,2508,18.242857142857144
14,2008,209,2509,20.371428571428574
15,2008,186,2510,19.614285714285717
16,2008,195,2511,19.12857142857143
17,2008,216,2512,25.62857142857143
18,2008,193,2513,26.857142857142858
19,2008,172,2514,22.214285714285715
20,2008,168,2515,21.62857142857143
21,2008,189,2516,23.02857142857143
22,2008,169,2517,22.35714285714286
23,2008,150,2518,23.571428571428573
24,2008,175,2519,25.08571428571429
25,2008,208,2520,32.628571428571426
26,2008,203,2521,33.042857142857144
27,2008,199,2522,31.457142857142856
28,2008,185,2523,30.14285714285714
29,2008,166,2524,31.985714285714288
30,2008,174,2525,35.01428571428572
31,2008,208,2526,35.48571428571429
32,2008,200,2527,33.8
33,2008,170,2528,29.400000000000002
34,2008,183,2529,30.185714285714287
35,2008,179,2530,32.75714285714286
36,2008,177,2531,30.628571428571426
37,2008,155,2532,26.52857142857143
38,2008,180,2533,27.114285714285717
39,2008,181,2534,23.32857142857143
40,2008,172,2535,22.114285714285717
41,2008,234,2536,21.828571428571426
42,2008,196,2537,23.185714285714287
43,2008,205,2538,19.17142857142857
44,2008,223,2539,13.457142857142857
45,2008,186,2540,14.77142857142857
46,2008,204,2541,14.657142857142857
47,2008,199,2542,14.657142857142857
48,2008,230,2543,9.200000000000001
49,2008,185,2544,12.428571428571429
50,2008,190,2545,8.814285714285715
51,2008,205,2546,11.428571428571429
52,2008,223,2547,5.800000000000001
1,2009,272,2548,8.1
2,2009,252,2549,4.471428571428571
3,2009,254,2550,11.200000000000001
4,2009,241,2551,13.37142857142857
5,2009,225,2552,12.442857142857141
6,2009,214,2553,12.485714285714286
7,2009,212,2554,13.428571428571429
8,2009,206,2555,14.457142857142857
9,2009,229,2556,13.314285714285713
10,2009,203,2557,15.014285714285718
11,2009,176,2558,21.042857142857144
12,2009,222,2559,19.728571428571428
13,2009,209,2560,17.157142857142855
14,2009,211,2561,19.02857142857143
15,2009,198,2562,16.900000000000002
16,2009,182,2563,19.557142857142857
17,2009,211,2564,21.24285714285714
18,2009,196,2565,23.571428571428573
19,2009,227,2566,27.271428571428572
20,2009,194,2567,26.357142857142858
21,2009,180,2568,28.000000000000004
22,2009,173,2569,31.557142857142857
23,2009,186,2570,28.585714285714285
24,2009,212,2571,34.557142857142864
25,2009,196,2572,31.157142857142862
26,2009,175,2573,35.74285714285714
27,2009,170,2574,32.92857142857142
28,2009,177,2575,34.885714285714286
29,2009,181,2576,34.642857142857146
30,2009,173,2577,35.22857142857143
31,2009,170,2578,34.32857142857143
32,2009,203,2579,31.47142857142858
33,2009,189,2580,37.57142857142857
34,2009,193,2581,34.98571428571429
35,2009,199,2582,32.68571428571428
36,2009,174,2583,30.12857142857143
37,2009,154,2584,27.199999999999996
38,2009,173,2585,24.571428571428573
39,2009,191,2586,26.814285714285713
40,2009,192,2587,27.6
41,2009,207,2588,25.528571428571432
42,2009,213,2589,19.085714285714285
43,2009,217,2590,21.714285714285715
44,2009,212,2591,19.88571428571429
45,2009,195,2592,14.057142857142855
46,2009,174,2593,20.17142857142857
47,2009,220,2594,16.285714285714285
48,2009,201,2595,13.35714285714286
49,2009,211,2596,15.385714285714288
50,2009,201,2597,7.3428571428571425
51,2009,222,2598,6.471428571428571
52,2009,211,2599,13.5625
